date,race,class,distance,surface,condition,horse_number,horse_name,gear,horse_rating,horse_weight,hcp_weight,c_wt,bar,jockey,trainer,running_position,pl,time,lbw,,,,,,l100m_time_2,l100m_distance_2,off_rail_2,l100m_km_hr_2,,time_2,peak_km_hr_2,avg_km_hr_2,distance_traveled_2,margin_2,finish_3,no_3,horse_name_3,win_div_3,rating_3,c_weight_3,jockey_3,trainer_3,draw_3,running_pos_3,finish_time_3,lbw_3,h_weight_3
01/06/2018,2,RM,1200,T,GOOD,8,STARDICE,,0,538,57,55,3,APP S NOH,J SAIMEE,3-6-2004,4,1:10.65,3.4,,,STARDICE,,,6,101,5.7,60.6,,1:10.65,67.1,61.7,1212,3/4,4,8,STARDICE,$153,--,55,S NOH,J SAIMEE,3,3-6-2004,1:10.65,3.25L,538kg
01/06/2018,2,RM,1200,T,GOOD,9,BLITZ POWER,TT,0,510,55.5,55.5,12,J POWELL,RB MARSH,12-12-2005,5,1:10.90,4.9,,,BLITZ POWER,,,5.97,101,6.7,60.9,,1:10.90,66,61.7,1217,1 1/2,5,9,BLITZ POWER,$280,--,55.5,J POWELL,RB MARSH,12,12-12-2005,1:10.90,4.75L,510kg
01/06/2018,2,RM,1200,T,GOOD,10,BLUE HAWAII,TT,0,513,54.5,54.5,6,O PLACAIS,D MEAGHER,4-4-2006,6,1:10.92,5,,,BLUE HAWAII,,,6.14,100,2.5,58.6,,1:10.92,67.4,61.8,1218,short head,6,10,BLUE HAWAII,$216,--,54.5,O PLACAIS,D MEAGHER,6,4-4-2006,1:10.92,4.9L,513kg
01/06/2018,2,RM,1200,T,GOOD,7,SHREDDER,EM,0,454,57,57,8,N JUGLALL,R LE GRANGE,10-8-2007,7,1:11.08,6,,,SHREDDER,,,6.17,101,4,58.9,,1:11.08,66.4,61.4,1214,1,7,7,SHREDDER,$189,--,57,N JUGLALL,R LE GRANGE,8,10-8-2007,1:11.08,5.9L,454kg
01/06/2018,2,RM,1200,T,GOOD,2,SATELLITE WARRIOR,,53,494,57,57,9,G BOSS,J O'HARA,11-11-2008,8,1:11.09,6.1,,,SATELLITE WARRIOR,,,6.14,101,8.5,59.2,,1:11.09,66.6,61.8,1221,short head,8,2,SATELLITE WARRIOR,$23,53,57,G BOSS,J O'HARA,9,11-11-2008,1:11.09,6.05L,494kg
01/06/2018,2,RM,1200,T,GOOD,1,BEAUTIFUL DAY,BP,56,473,57,57,10,R WOODWORTH,D KOH,1-1-2009,9,1:11.30,7.4,,,BEAUTIFUL DAY,,,6.34,101,0.7,57.3,,1:11.30,70,61.3,1216,1 1/4,9,1,BEAUTIFUL DAY,$19,56,57,R WOODWORTH,D KOH,10,1-1-2009,1:11.30,7.3L,473kg
01/06/2018,2,RM,1200,T,GOOD,11,RELIC WARRIOR,BB,0,514,54.5,53.5,5,TH KOH,D HILL,9-9-2010,10,1:11.51,8.7,,,RELIC WARRIOR,,,6.31,101,2.1,57.5,,1:11.51,66.4,60.8,1210,1 1/4,10,11,RELIC WARRIOR,$719,--,53.5,TH KOH,D HILL,5,9-9-2010,1:11.51,8.55L,514kg
01/06/2018,2,RM,1200,T,GOOD,12,ROYAL PAVILION,,0,518,49.5,50,7,A COLLETT,S BAERTSCHIGER,7-7-2011,11,1:11.57,9.2,,,ROYAL PAVILION,,,6.4,101,6.7,56.8,,1:11.57,66.7,61.1,1215,1/2,11,12,ROYAL PAVILION,$21,--,50,MS A COLLETT,S BAERTSCHIGER,7,7-7-2011,1:11.57,9.05L,518kg
01/06/2018,2,RM,1200,T,GOOD,6,REMARKABLE EMPIRE,,0,466,57,56,11,Z ZURIMAN,L KHOO,8-10-2012,12,1:12.69,16,,,REMARKABLE EMPIRE,,,6.57,100,2.5,54.7,,1:12.69,67.3,60.5,1222,6 3/4,12,6,REMARKABLE EMPIRE,$352,--,56,Z ZURIMAN,L KHOO,11,8-10-2012,1:12.69,15.8L,466kg
01/06/2018,3,C4,1100,P,GOOD,7,ACROSS THE SEA,B,48,490,53.5,53.5,6,O PLACAIS,H TAKAOKA,8-7-2001,1,1:06.42,0,,,ACROSS THE SEA,,,6.29,100,6.8,57.2,,1:06.42,67.8,60.4,1114,-,1,7,ACROSS THE SEA,$16,48,53.5,O PLACAIS,H TAKAOKA,6,8-7-2001,1:06.42,--,490kg
