date,race,class,distance,surface,condition,horse_number,horse_name,gear,horse_rating,horse_weight,hcp_weight,c_wt,bar,jockey,trainer,running_position,pl,time,lbw,,,,,,l100m_time_2,l100m_distance_2,off_rail_2,l100m_km_hr_2,,time_2,peak_km_hr_2,avg_km_hr_2,distance_traveled_2,margin_2,finish_3,no_3,horse_name_3,win_div_3,rating_3,c_weight_3,jockey_3,trainer_3,draw_3,running_pos_3,finish_time_3,lbw_3,h_weight_3
17/06/2018,9,C4,1100,P,GOOD,2,CRAZY DREAMS,EM,61,505,57,57,8,R WOODWORTH,KY YOUNG,1-1-2007,7,1:07.42,3.3,,,CRAZY DREAMS,,,6.92,101,0.6,52.5,,1:07.42,66.3,59.3,1110,neck,7,2,CRAZY DREAMS,$15,61,57,R WOODWORTH,KY YOUNG,8,1-1-2007,1:07.42,3.25L,505kg
17/06/2018,9,C4,1100,P,GOOD,7,HEE'S A MAVERICK,B,59,473,56,56,9,O PLACAIS,M YUSOF,8-10-2008,8,1:07.65,4.8,,,HEE'S A MAVERICK,,,6.43,100,9.5,55.9,,1:07.65,65,59.7,1121,1 1/2,8,7,HEE'S A MAVERICK,$190,59,56,O PLACAIS,M YUSOF,9,8-10-2008,1:07.65,4.75L,473kg
17/06/2018,9,C4,1100,P,GOOD,1,BILLY MOJO,TT,61,499,57,57,3,C GRYLLS,RB MARSH,7-6-2009,9,1:07.81,5.8,,,BILLY MOJO,,,6.75,101,3.7,53.8,,1:07.81,64.9,59.0,1111,1,9,1,BILLY MOJO,$108,61,57,C GRYLLS,RB MARSH,3,7-6-2009,1:07.81,5.75L,499kg
17/06/2018,9,C4,1100,P,GOOD,3,HAYTHAM,"BP, TT",60,540,56.5,55.5,2,M EWE,L KHOO,10-9-2010,10,1:08.43,9.6,,,HAYTHAM,,,6.98,101,1.6,52.1,,1:08.43,66.4,58.6,1114,3 3/4,10,3,HAYTHAM,$93,60,55.5,M EWE,L KHOO,2,10-9-2010,1:08.43,9.5L,540kg
24/06/2018,1,C4,1400,T,GOOD,3,GOL GOAL,,55,489,56.5,55.5,1,APP E FINNEGAN,S BAERTSCHIGER,10-6-2001,1,1:23.63,0,,,GOL GOAL,,,6.06,101,6.1,60,,1:23.63,67.7,61.4,1430,-,1,3,GOL GOAL,$14,55,55.5,MS E FINNEGAN,S BAERTSCHIGER,1,10-6-2001,1:23.63,--,489kg
24/06/2018,1,C4,1400,T,GOOD,2,EL CAMINO,"B, SR",55,475,56.5,55.5,5,Z ZURIMAN,J SAIMEE,5-4-2002,2,1:23.88,1.5,,,EL CAMINO,,,6.29,101,4.9,57.8,,1:23.88,66,61.2,1431,1 1/2,2,2,EL CAMINO,$38,55,55.5,Z ZURIMAN,J SAIMEE,5,5-4-2002,1:23.88,1.5L,475kg
24/06/2018,1,C4,1400,T,GOOD,9,SUN EMPIRE,SR,44,503,51,50,2,APP CC WONG,D KOH,1-1-2003,3,1:24.17,3.3,,,SUN EMPIRE,,,6.34,101,2.5,57.3,,1:24.17,67.7,60.7,1424,1 3/4,3,9,SUN EMPIRE,$32,44,50,CC WONG,D KOH,2,1-1-2003,1:24.17,3.25L,503kg
24/06/2018,1,C4,1400,T,GOOD,8,WHIZZY WALTZZY,B,47,491,52.5,52.5,3,A COLLETT,L DRAGON,3-2-2004,4,1:24.24,3.8,,,WHIZZY WALTZZY,,,6.31,100,4.5,57,,1:24.24,67.4,60.6,1423,1/2,4,8,WHIZZY WALTZZY,$425,47,52.5,MS A COLLETT,MS L DRAGON,3,3-2-2004,1:24.24,3.75L,491kg
24/06/2018,1,C4,1400,T,GOOD,10,WEST NORTH HILL,"B, TT",44,494,51,50,4,TH KOH,D HILL,6-7-2005,5,1:24.36,4.6,,,WEST NORTH HILL,,,6.23,101,7.8,58.3,,1:24.36,67,60.6,1425,3/4,5,10,WEST NORTH HILL,$26,44,50,TH KOH,D HILL,4,6-7-2005,1:24.36,4.5L,494kg
24/06/2018,1,C4,1400,T,GOOD,7,BRILLIANT ONE,B,47,491,52.5,52.5,6,N JUGLALL,S GRAY,4-5-2006,6,1:24.38,4.8,,,BRILLIANT ONE,,,6.26,101,1.6,58.1,,1:24.38,66.7,60.6,1426,head,6,7,BRILLIANT ONE,$93,47,52.5,N JUGLALL,S GRAY,6,4-5-2006,1:24.38,4.7L,491kg
24/06/2018,1,C4,1400,T,GOOD,6,MONEY KING,B,48,528,53,53.5,10,M EWE,KY YOUNG,7-8-2007,7,1:24.44,5.3,,,MONEY KING,,,6.23,101,8.5,58.3,,1:24.44,66,60.9,1433,1/2,7,6,MONEY KING,$21,48,53.5,M EWE,KY YOUNG,10,7-8-2007,1:24.44,5.2L,528kg
24/06/2018,1,C4,1400,T,GOOD,4,RED RIDING WOOD,B,55,457,56.5,56.5,9,A MUNRO,J SAIMEE,9-9-2008,8,1:24.45,5.4,,,RED RIDING WOOD,,,6.11,101,5.2,59.4,,1:24.45,66.3,60.5,1424,short head,8,4,RED RIDING WOOD,$260,55,56.5,A MUNRO,J SAIMEE,9,9-9-2008,1:24.45,5.35L,457kg
24/06/2018,1,C4,1400,T,GOOD,1,SACRED GURU,,56,491,57,57,8,V DURIC,M WALKER,2-3-2009,9,1:25.05,9.2,,,SACRED GURU,,,6.6,101,6,55,,1:25.05,68.1,60.3,1428,3 3/4,9,1,SACRED GURU,$51,56,57,V DURIC,M WALKER,8,2-3-2009,1:25.05,9.1L,491kg
24/06/2018,1,C4,1400,T,GOOD,5,MERCHANT MARINE,"TT, EM",53,477,55.5,52.5,7,APP WS CHAN,L KHOO,8-10-2010,10,1:26.85,20,,,MERCHANT MARINE,,,7.07,101,4.4,51.4,,1:26.85,66.7,59.0,1428,10 3/4,10,5,MERCHANT MARINE,$301,53,52.5,WS CHAN,L KHOO,7,8-10-2010,1:26.85,19.85L,477kg
24/06/2018,2,RM,1200,T,GOOD,12,AUTUMN ASSAULT,,0,532,49.5,49.5,10,R WOODWORTH,D KOK,3-2-2001,1,1:11.05,0,,,AUTUMN ASSAULT,,,6.29,101,3,57.8,,1:11.05,67.7,62.1,1229,-,1,12,AUTUMN ASSAULT,$10,--,49.5,R WOODWORTH,D KOK,10,3-2-2001,1:11.05,--,532kg
24/06/2018,2,RM,1200,T,GOOD,9,FAME STAR,"BB, TT",0,454,54.5,54.5,6,O PLACAIS,J O'HARA,2-1-2002,2,1:11.12,0.5,,,FAME STAR,,,6.08,101,5.4,59.7,,1:11.12,68.7,62.0,1228,1/2,2,9,FAME STAR,$30,--,54.5,O PLACAIS,J O'HARA,6,2-1-2002,1:11.12,0.5L,454kg
24/06/2018,2,RM,1200,T,GOOD,13,NADEEM SAPPHIRE,BB,0,517,49.5,49.5,2,TH KOH,L KHOO,1-3-2003,3,1:11.30,1.5,,,NADEEM SAPPHIRE,,,6.26,101,1.9,58.1,,1:11.30,67.7,61.4,1221,1,3,13,NADEEM SAPPHIRE,$611,--,49.5,TH KOH,L KHOO,2,1-3-2003,1:11.30,1.5L,517kg
24/06/2018,2,RM,1200,T,GOOD,5,OUR SHOWCASE,TT,0,491,57,57,1,M RODD,RB MARSH,4-4-2004,4,1:11.39,2,,,OUR SHOWCASE,,,6.03,101,7.2,60.3,,1:11.39,66.7,61.4,1221,1/2,4,5,OUR SHOWCASE,$16,--,57,M RODD,RB MARSH,1,4-4-2004,1:11.39,2L,491kg
24/06/2018,2,RM,1200,T,GOOD,7,WARRIOR KING,TT,0,514,57,57,11,C GRYLLS,RB MARSH,13-12-2005,5,1:11.43,2.3,,,WARRIOR KING,,,5.82,100,4.2,61.8,,1:11.43,66.7,61.6,1226,neck,5,7,WARRIOR KING,$387,--,57,C GRYLLS,RB MARSH,11,13-12-2005,1:11.43,2.3L,514kg
24/06/2018,2,RM,1200,T,GOOD,11,GIANT KILLING,WK,49,438,49.5,50,5,APP CC WONG,H TAKAOKA,5-5-2006,6,1:11.44,2.4,,,GIANT KILLING,,,6.03,101,8,60.3,,1:11.44,66.7,61.6,1226,short head,6,11,GIANT KILLING,$248,49,50,CC WONG,H TAKAOKA,5,5-5-2006,1:11.44,2.45L,438kg
24/06/2018,2,RM,1200,T,GOOD,2,SATELLITE WARRIOR,,52,495,57,57,12,G BOSS,J O'HARA,10-7-2007,7,1:11.77,4.4,,,SATELLITE WARRIOR,,,6.2,101,10,58.6,,1:11.77,66.7,61.5,1230,2,7,2,SATELLITE WARRIOR,$53,52,57,G BOSS,J O'HARA,12,10-7-2007,1:11.77,4.45L,495kg
24/06/2018,2,RM,1200,T,GOOD,8,IRON FIST,B,49,469,54.5,54.5,7,D MOOR,HW TAN,8-8-2008,8,1:11.97,5.7,,,IRON FIST,,,6.08,101,8,59.7,,1:11.97,67.7,61.2,1227,1 1/4,8,8,IRON FIST,$134,49,54.5,D MOOR,HW TAN,7,8-8-2008,1:11.97,5.7L,469kg
24/06/2018,2,RM,1200,T,GOOD,3,LARSON,B,45,473,57,56,8,APP E FINNEGAN,J PETERS,6-6-2009,9,1:12.00,5.9,,,LARSON,,,6.23,101,9.2,58.3,,1:12.00,67,61.3,1229,head,9,3,LARSON,$436,45,56,MS E FINNEGAN,J PETERS,8,6-6-2009,1:12.00,5.9L,473kg
24/06/2018,2,RM,1200,T,GOOD,14,ROYAL PAVILION,,0,518,49.5,50.5,4,B VORSTER,S BAERTSCHIGER,11-9-2010,10,1:12.04,6.2,,,ROYAL PAVILION,,,6.17,101,4.1,58.9,,1:12.04,66,60.8,1221,neck,10,14,ROYAL PAVILION,$156,--,50.5,B VORSTER,S BAERTSCHIGER,4,11-9-2010,1:12.04,6.2L,518kg
24/06/2018,2,RM,1200,T,GOOD,1,SONORAN,BB,55,490,57,57,13,K A'ISISUHAIRI,S BURRIDGE,9-10-2011,11,1:12.87,11.2,,,SONORAN,,,6.43,101,9.4,56.5,,1:12.87,67.9,60.9,1237,5,11,1,SONORAN,$95,55,57,K A'ISISUHAIRI,S BURRIDGE,13,9-10-2011,1:12.87,11.2L,490kg
24/06/2018,2,RM,1200,T,GOOD,10,WOLF WARRIOR,EM,0,505,54.5,50.5,14,APP WH KOK,CT KUAH,14-14-12,12,1:12.95,11.7,,,WOLF WARRIOR,,,6.23,101,5.7,58.3,,1:12.95,65.6,60.1,1222,1/2,12,10,WOLF WARRIOR,$711,--,50.5,WH KOK,CT KUAH,14,14-14-12,1:12.95,11.7L,505kg
24/06/2018,2,RM,1200,T,GOOD,4,LOVE ME TENDER,,0,465,57,57,9,A COLLETT,M CLEMENTS,12-13-13,13,1:13.40,14.5,,,LOVE ME TENDER,,,6.31,101,3.3,57,,1:13.40,65.3,60.2,1229,2 3/4,13,4,LOVE ME TENDER,$289,--,57,MS A COLLETT,M CLEMENTS,9,12-13-13,1:13.40,14.45L,465kg
24/06/2018,2,RM,1200,T,GOOD,6,RAIDEN HERO,"B, TT",0,496,57,54,3,APP CK NG,D KOH,7-11-2014,14,1:13.66,16,,,RAIDEN HERO,,,6.75,101,2.3,53.8,,1:13.66,66.7,59.5,1221,1 1/2,14,6,RAIDEN HERO,$919,--,54,CK NG,D KOH,3,7-11-2014,1:13.66,15.95L,496kg
24/06/2018,3,C4,1200,T,GOOD,5,CLARTON TREASURE,"P, EM",59,500,56,56,7,I AZHAR,KY YOUNG,1-2-2001,1,1:11.69,0,,,CLARTON TREASURE,,,6,100,3.8,60,,1:11.69,66.7,61.1,1220,-,1,5,CLARTON TREASURE,$14,59,56,I AZHAR,KY YOUNG,7,1-2-2001,1:11.69,--,500kg
24/06/2018,3,C4,1200,T,GOOD,3,STORM TROOPER,TT,61,521,57,54,2,APP CK NG,M WALKER,3-5-2002,2,1:11.80,0.8,,,STORM TROOPER,,,5.82,100,3,61.8,,1:11.80,66.7,61.1,1220,3/4,2,3,STORM TROOPER,$84,61,54,CK NG,M WALKER,2,3-5-2002,1:11.80,0.75L,521kg
24/06/2018,3,C4,1200,T,GOOD,4,REDDOT RISING,,60,466,56.5,55.5,6,APP CC WONG,J SAIMEE,5-4-2003,3,1:11.83,1,,,REDDOT RISING,,,5.77,103,8.1,64.2,,1:11.83,66.7,61.8,1236,head,3,4,REDDOT RISING,$148,60,55.5,CC WONG,J SAIMEE,6,5-4-2003,1:11.83,0.95L,466kg
24/06/2018,3,C4,1200,T,GOOD,1,HEARTLIGHT,,61,505,57,57,5,V DURIC,M WALKER,7-6-2004,4,1:11.83,1.1,,,HEARTLIGHT,,,5.94,101,7.3,61.2,,1:11.83,66.3,61.2,1223,nose,4,1,HEARTLIGHT,$15,61,57,V DURIC,M WALKER,5,7-6-2004,1:11.83,1.05L,505kg
24/06/2018,3,C4,1200,T,GOOD,2,SAHABA,B,61,488,57,57,8,D MOOR,DL FREEDMAN,2-1-2005,5,1:11.94,1.9,,,SAHABA,,,6.14,100,4.8,58.6,,1:11.94,66.7,61.1,1223,3/4,5,2,SAHABA,$37,61,57,D MOOR,DL FREEDMAN,8,2-1-2005,1:11.94,1.8L,488kg
24/06/2018,3,C4,1200,T,GOOD,8,LONGHU,TT,57,476,55,55,3,M KELLADY,S BAERTSCHIGER,6-7-2006,6,1:12.21,3.7,,,LONGHU,,,6.08,101,3.3,59.7,,1:12.21,66.7,60.6,1218,1 3/4,6,8,LONGHU,$77,57,55,M KELLADY,S BAERTSCHIGER,3,6-7-2006,1:12.21,3.55L,476kg
24/06/2018,3,C4,1200,T,GOOD,7,FEROCIOUS,TT,57,463,55,54,1,APP T SEE,KY YOUNG,8-8-2007,7,1:12.38,4.7,,,FEROCIOUS,,,6.03,101,9,60.3,,1:12.38,66.7,60.5,1219,1,7,7,FEROCIOUS,$137,57,54,T SEE,KY YOUNG,1,8-8-2007,1:12.38,4.55L,463kg
24/06/2018,3,C4,1200,T,GOOD,6,PLATO,"BB, TT",59,511,56,56,4,A COLLETT,J O'HARA,4-3-2008,8,1:12.59,6,,,PLATO,,,6.23,100,6.6,57.8,,1:12.59,66.7,60.6,1224,1 1/4,8,6,PLATO,$19,59,56,MS A COLLETT,J O'HARA,4,4-3-2008,1:12.59,5.8L,511kg
24/06/2018,4,C4,1200,T,GOOD,2,DAZZLING SPEED,"TT, SR",56,515,56.5,56.5,6,R CURATOLO,M WALKER,3-3-2001,1,1:11.13,0,,,DAZZLING SPEED,,,6.26,101,7.1,58.1,,1:11.13,66.7,61.8,1221,-,1,2,DAZZLING SPEED,$20,56,56.5,R CURATOLO,M WALKER,6,3-3-2001,1:11.13,--,515kg
24/06/2018,4,C4,1200,T,GOOD,3,SWEDISH MEMORIES,B,55,501,56,56,5,M RODD,C BROWN,1-1-2002,2,1:11.14,0.1,,,SWEDISH MEMORIES,,,6.55,101,2.1,55.5,,1:11.14,68.5,61.6,1218,short head,2,3,SWEDISH MEMORIES,$19,55,56,M RODD,C BROWN,5,1-1-2002,1:11.14,0.15L,501kg
24/06/2018,4,C4,1200,T,GOOD,7,DAVID'S STAR,"EM, SR",49,441,53,53,1,A MUNRO,D KOK,2-2-2003,3,1:11.14,0.2,,,DAVID'S STAR,,,6.37,100,4.7,56.4,,1:11.14,66.3,61.5,1216,nose,3,7,DAVID'S STAR,$151,49,53,A MUNRO,D KOK,1,2-2-2003,1:11.14,0.25L,441kg
24/06/2018,4,C4,1200,T,GOOD,1,BRINGER OF WAR,TT,57,501,57,57,8,V DURIC,M WALKER,9-6-2004,4,1:11.33,1.2,,,BRINGER OF WAR,,,6.2,100,8.8,58,,1:11.33,68.5,61.7,1224,1,4,1,BRINGER OF WAR,$15,57,57,V DURIC,M WALKER,8,9-6-2004,1:11.33,1.25L,501kg
24/06/2018,4,C4,1200,T,GOOD,9,RAFALE,BP,45,454,51,50,7,TH KOH,ZL MOK,10-10-2005,5,1:11.34,1.3,,,RAFALE,,,6.11,100,3.2,58.8,,1:11.34,66.7,61.3,1217,short head,5,9,RAFALE,$196,45,50,TH KOH,ZL MOK,7,10-10-2005,1:11.34,1.4L,454kg
24/06/2018,4,C4,1200,T,GOOD,5,SUN LION,TT,51,557,54,53,2,APP CC WONG,D KOH,5-4-2006,6,1:11.42,1.8,,,SUN LION,,,6.26,101,6,58.1,,1:11.42,65.6,61.3,1217,1/2,6,5,SUN LION,$124,51,53,CC WONG,D KOH,2,5-4-2006,1:11.42,1.9L,557kg
24/06/2018,4,C4,1200,T,GOOD,4,PARAGON STAR,B,52,463,54.5,54.5,10,R WOODWORTH,D MEAGHER,4-5-2007,7,1:11.74,3.8,,,PARAGON STAR,,,6.4,101,8.3,56.8,,1:11.74,66.9,61.5,1227,2,7,4,PARAGON STAR,$31,52,54.5,R WOODWORTH,D MEAGHER,10,4-5-2007,1:11.74,3.9L,463kg
24/06/2018,4,C4,1200,T,GOOD,8,ANTHEIA,,45,405,51,51,3,I SAIFUDIN,D KOK,6-7-2008,8,1:12.00,5.3,,,ANTHEIA,,,6.49,101,6,56,,1:12.00,66,60.8,1217,1 1/2,8,8,ANTHEIA,$223,45,51,I SAIFUDIN,D KOK,3,6-7-2008,1:12.00,5.4L,405kg
24/06/2018,4,C4,1200,T,GOOD,10,KASHAN,TT,44,502,50.5,50.5,4,Z ZURIMAN,L KHOO,7-9-2009,9,1:12.15,6.3,,,KASHAN,,,6.49,101,8.1,56,,1:12.15,65.9,60.9,1222,1,9,10,KASHAN,$275,44,50.5,Z ZURIMAN,L KHOO,4,7-9-2009,1:12.15,6.4L,502kg
24/06/2018,4,C4,1200,T,GOOD,6,GOLDEN THUNDER,"B, TT",50,474,53.5,53.5,9,M EWE,CT KUAH,8-8-2010,10,1:12.35,7.6,,,GOLDEN THUNDER,,,6.49,100,9.1,55.4,,1:12.35,67,60.9,1225,1 1/4,10,6,GOLDEN THUNDER,$46,50,53.5,M EWE,CT KUAH,9,8-8-2010,1:12.35,7.65L,474kg
24/06/2018,5,C3,1400,T,GOOD,9,SOUTHERN SPUR,"B, SR",65,472,52.5,51.5,10,APP CC WONG,J SAIMEE,2-3-2001,1,1:22.80,0,,,SOUTHERN SPUR,,,6.08,100,2.5,59.1,,1:22.80,66.7,61.8,1424,-,1,9,SOUTHERN SPUR,$26,65,51.5,CC WONG,J SAIMEE,10,2-3-2001,1:22.80,--,472kg
24/06/2018,5,C3,1400,T,GOOD,1,NEPEAN,TT,74,508,57,57,11,J POWELL,S BAERTSCHIGER,4-2-2002,2,1:22.84,0.3,,,NEPEAN,,,6.08,100,3.7,59.1,,1:22.84,66.7,61.9,1428,neck,2,1,NEPEAN,$40,74,57,J POWELL,S BAERTSCHIGER,11,4-2-2002,1:22.84,0.3L,508kg
24/06/2018,5,C3,1400,T,GOOD,12,LIM'S DASHING,EM,62,478,51,51,3,D MOOR,S GRAY,6-6-2003,3,1:22.88,0.6,,,LIM'S DASHING,,,6.03,101,4.5,60.3,,1:22.88,66.7,61.6,1421,neck,3,12,LIM'S DASHING,$19,62,51,D MOOR,S GRAY,3,6-6-2003,1:22.88,0.6L,478kg
24/06/2018,5,C3,1400,T,GOOD,8,GALILEO'S APPROACH,"B, TT",65,504,52.5,52.5,8,M KELLADY,S BAERTSCHIGER,1-1-2004,4,1:23.01,1.4,,,GALILEO'S APPROACH,,,6.14,101,1.4,59.2,,1:23.01,66.4,61.4,1421,3/4,4,8,GALILEO'S APPROACH,$33,65,52.5,M KELLADY,S BAERTSCHIGER,8,1-1-2004,1:23.01,1.35L,504kg
24/06/2018,5,C3,1400,T,GOOD,6,LITTLE BIG MAN,B,66,453,53,53,4,O PLACAIS,DL FREEDMAN,3-4-2005,5,1:23.01,1.5,,,LITTLE BIG MAN,,,6.08,101,3.4,59.7,,1:23.01,66,61.5,1422,nose,5,6,LITTLE BIG MAN,$51,66,53,O PLACAIS,DL FREEDMAN,4,3-4-2005,1:23.01,1.45L,453kg
24/06/2018,5,C3,1400,T,GOOD,13,OCULIST,,62,508,51,51.5,6,A MUNRO,L KHOO,7-8-2006,6,1:23.17,2.5,,,OCULIST,,,6.06,101,8.1,60,,1:23.17,66.3,61.5,1425,1,6,13,OCULIST,$22,62,51.5,A MUNRO,L KHOO,6,7-8-2006,1:23.17,2.45L,508kg
24/06/2018,5,C3,1400,T,GOOD,3,MAJOR TOM,TT,68,526,54,54,1,C GRYLLS,M WALKER,8-7-2007,7,1:23.46,4.3,,,MAJOR TOM,,,6.2,101,5.7,58.6,,1:23.46,66.3,61.1,1421,1 3/4,7,3,MAJOR TOM,$192,68,54,C GRYLLS,M WALKER,1,8-7-2007,1:23.46,4.2L,526kg
24/06/2018,5,C3,1400,T,GOOD,2,COLCHESTER,B,68,479,54,54.5,9,R CURATOLO,M YUSOF,5-5-2008,8,1:23.52,4.8,,,COLCHESTER,,,6.26,101,8.8,58.1,,1:23.52,66.7,61.6,1432,1/2,8,2,COLCHESTER,$151,68,54.5,R CURATOLO,M YUSOF,9,5-5-2008,1:23.52,4.7L,479kg
24/06/2018,5,C3,1400,T,GOOD,11,SUN PITTSBURGH,EM,63,441,51.5,50.5,12,M ZAKI,H TAKAOKA,11-11-2009,9,1:23.61,5.3,,,SUN PITTSBURGH,,,6.03,100,10.3,59.7,,1:23.61,66.3,61.3,1427,1/2,9,11,SUN PITTSBURGH,$249,63,50.5,M ZAKI,H TAKAOKA,12,11-11-2009,1:23.61,5.2L,441kg
24/06/2018,5,C3,1400,T,GOOD,5,AUSPICIOUS DAY,B,66,423,53,53,5,A COLLETT,L KHOO,9-10-2010,10,1:23.87,6.8,,,AUSPICIOUS DAY,,,6.26,101,8.4,58.1,,1:23.87,66.3,61.1,1427,1 1/2,10,5,AUSPICIOUS DAY,$66,66,53,MS A COLLETT,L KHOO,5,9-10-2010,1:23.87,6.7L,423kg
24/06/2018,5,C3,1400,T,GOOD,14,TURQUOISE KING,SR,62,497,51,48,13,APP CK NG,M WALKER,12-12-2011,11,1:23.94,7.3,,,TURQUOISE KING,,,6.06,101,1.8,60,,1:23.94,66.7,61.0,1427,1/2,11,14,TURQUOISE KING,$176,62,48,CK NG,M WALKER,13,12-12-2011,1:23.94,7.2L,497kg
24/06/2018,5,C3,1400,T,GOOD,7,SACRED EMPIRE,TT,66,476,53,53,2,I AZHAR,M WALKER,10-9-2012,12,1:23.98,7.6,,,SACRED EMPIRE,,,6.11,101,5.1,59.4,,1:23.98,65.3,60.9,1424,neck,12,7,SACRED EMPIRE,$621,66,53,I AZHAR,M WALKER,2,10-9-2012,1:23.98,7.5L,476kg
24/06/2018,5,C3,1400,T,GOOD,10,BANDIDO,"B, TT",64,517,52,52,7,B VORSTER,J O'HARA,13-13-13,13,1:28.41,34.4,,,BANDIDO,,,8.42,101,4.8,43.1,,1:28.41,65,57.7,1422,26 3/4,13,10,BANDIDO,$274,64,52,B VORSTER,J O'HARA,7,13-13-13,1:28.41,34.25L,517kg
24/06/2018,6,A,1400,T,GOOD,4,MAJESTIC MOMENTS,SR,101,483,58,58,14,M RODD,R LE GRANGE,14-10-2001,1,1:22.47,0,,,MAJESTIC MOMENTS,,,6.03,101,4.5,60.3,,1:22.47,67.8,61.8,1420,-,1,4,MAJESTIC MOMENTS,$45,101,58,M RODD,R LE GRANGE,14,14-10-2001,1:22.47,--,483kg
24/06/2018,6,A,1400,T,GOOD,14,DANCE IN THE WIND,B,83,476,52,51,1,APP CC WONG,H TAKAOKA,1-1-2002,2,1:22.55,0.5,,,DANCE IN THE WIND,,,6,101,2.9,60,,1:22.55,69.6,61.8,1419,1/2,2,14,DANCE IN THE WIND,$170,83,51,CC WONG,H TAKAOKA,1,1-1-2002,1:22.55,0.5L,476kg
24/06/2018,6,A,1400,T,GOOD,1,NOVA STRIKE,B,108,462,59.5,59.5,9,O PLACAIS,HW TAN,3-4-2003,3,1:22.73,1.5,,,NOVA STRIKE,,,5.97,100,4.7,60.3,,1:22.73,70.1,61.7,1419,1,3,1,NOVA STRIKE,$26,108,59.5,O PLACAIS,HW TAN,9,3-4-2003,1:22.73,1.5L,462kg
24/06/2018,6,A,1400,T,GOOD,3,PREDITOR,TT,104,529,58,58,11,J POWELL,S BAERTSCHIGER,8-7-2004,4,1:22.79,2,,,PREDITOR,,,6.03,101,8.3,60.3,,1:22.79,67,61.9,1426,1/2,4,3,PREDITOR,$37,104,58,J POWELL,S BAERTSCHIGER,11,8-7-2004,1:22.79,2L,529kg
24/06/2018,6,A,1400,T,GOOD,9,BEST TOTHELIGN,,94,473,55,54,5,APP E FINNEGAN,S BAERTSCHIGER,5-3-2005,5,1:22.93,3,,,BEST TOTHELIGN,,,6.26,101,7.2,58.1,,1:22.93,67.7,61.7,1423,1,5,9,BEST TOTHELIGN,$185,94,54,MS E FINNEGAN,S BAERTSCHIGER,5,5-3-2005,1:22.93,3L,473kg
24/06/2018,6,A,1400,T,GOOD,5,MAXIMUS,"WK, TT",100,515,58,57,6,APP T SEE,HW TAN,4-5-2006,6,1:23.07,3.8,,,MAXIMUS,,,6.2,101,9,58.6,,1:23.07,68.5,61.8,1427,3/4,6,5,MAXIMUS,$28,100,57,T SEE,HW TAN,6,4-5-2006,1:23.07,3.75L,515kg
24/06/2018,6,A,1400,T,GOOD,6,MR FANTASTIC,SR,98,468,56.5,56.5,8,N JUGLALL,R LE GRANGE,2-2-2007,7,1:23.36,5.6,,,MR FANTASTIC,,,6.46,101,5.7,56.2,,1:23.36,69.2,61.4,1424,1 3/4,7,6,MR FANTASTIC,$52,98,56.5,N JUGLALL,R LE GRANGE,8,2-2-2007,1:23.36,5.5L,468kg
24/06/2018,6,A,1400,T,GOOD,13,IRON MAN,,90,448,55,55,13,B VORSTER,R LE GRANGE,13-11-2008,8,1:23.43,6.1,,,IRON MAN,,,6.11,101,10.3,59.4,,1:23.43,66.3,61.7,1431,1/2,8,13,IRON MAN,$45,90,55,B VORSTER,R LE GRANGE,13,13-11-2008,1:23.43,6L,448kg
24/06/2018,6,A,1400,T,GOOD,2,POSEIDON,B,104,546,58,58,3,I SAIFUDIN,D KOK,9-9-2009,9,1:23.44,6.2,,,POSEIDON,,,6.23,100,6.8,57.8,,1:23.44,66.7,61.3,1422,nose,9,2,POSEIDON,$270,104,58,I SAIFUDIN,D KOK,3,9-9-2009,1:23.44,6.1L,546kg
24/06/2018,6,A,1400,T,GOOD,10,VIVIANO,TT,94,505,55,55,7,C GRYLLS,M WALKER,6-6-2010,10,1:23.53,6.7,,,VIVIANO,,,6.49,101,8.6,56,,1:23.53,67.7,61.3,1425,1/2,10,10,VIVIANO,$23,94,55,C GRYLLS,M WALKER,7,6-6-2010,1:23.53,6.6L,505kg
24/06/2018,6,A,1400,T,GOOD,11,TWICKENHAM,,93,514,55,55,12,D MOOR,S GRAY,11-12-2011,11,1:23.78,8.2,,,TWICKENHAM,,,6.34,101,10,57.3,,1:23.78,66.7,61.0,1422,1 1/2,11,11,TWICKENHAM,$160,93,55,D MOOR,S GRAY,12,11-12-2011,1:23.78,8.1L,514kg
24/06/2018,6,A,1400,T,GOOD,12,ERAGON,"WK, TT",90,468,55,54,4,E ASLAM,J PETERS,12-14-12,12,1:23.97,9.5,,,ERAGON,,,6.17,100,5.2,58.3,,1:23.97,65.3,61.1,1428,1 1/4,12,12,ERAGON,$203,90,54,E ASLAM,J PETERS,4,12-14-12,1:23.97,9.35L,468kg
24/06/2018,6,A,1400,T,GOOD,7,BLUE SWEDE,B,96,543,56.5,56.5,10,M KELLADY,S BAERTSCHIGER,10-13-13,13,1:23.99,9.6,,,BLUE SWEDE,,,6.34,100,11,56.7,,1:23.99,66.7,61.1,1427,short head,13,7,BLUE SWEDE,$101,96,56.5,M KELLADY,S BAERTSCHIGER,10,10-13-13,1:23.99,9.5L,543kg
